x,y,text,cluster,connected_to
-0.397698,0.054977,AI should not belong in labs; it should be in developers' hands.,0,12;18;32;211;118
-0.456349,0.085998,"Frontier AI should be accessible, not a privilege.",0,32;0;12;36;118
0.048332,-0.161079,High performance does not have to be huge.,1,115;205;64;41;187
0.012214,-0.353066,Small models are not a compromise.,1,214;194;4;163;29
-0.019182,-0.322107,Small yet powerful models change reality.,1,134;29;241;214;150
0.122533,0.075426,Benchmarks are not decoration; they are proof.,2,113;147;40;222;198
0.080671,0.015286,Failure rate reflects philosophy.,2,149;52;79;14;178
-0.167135,0.127492,Trustworthy AI is reproducible AI.,0,86;85;18;74;118
0.086036,0.096264,Being open is a strategy.,3,176;199;107;227;233
-0.024269,0.040148,"Closed systems create speed, but open systems create evolution.",4,106;107;132;58;133
-0.096230,0.052131,APIs are bridges.,4,78;38;133;177;25
0.027156,-0.060121,Value comes not from the model alone but from connectivity.,1,248;170;132;51;4
-0.410519,0.030045,AI should not be confined to the cloud.,0,32;0;18;140;201
-0.011719,0.062951,Local execution restores sovereignty.,4,62;206;216;138;68
-0.029576,-0.056325,Inference speed is part of the philosophy.,2,178;188;35;180;97
-0.111101,0.024231,Slow intelligence will not be used.,2,46;106;47;14;207
-0.041729,-0.036090,Real developers choose implementation over theory.,2,221;81;55;52;66
0.097345,0.024555,"Performance is measured in the field, not on paper.",2,40;186;27;41;242
-0.337403,0.015267,"AI is a tool, not a research result.",0,211;201;47;118;0
0.046732,-0.056402,A tool needs to fit the hand.,2,103;212;102;170;152
-0.024541,-0.019596,High accuracy is meaningless if conditional.,2,84;23;82;244;21
-0.014826,0.011178,Real-world data is dirty.,2,82;22;23;51;7
-0.070398,0.046690,OCR is not a research problem; it's an operational problem.,2,154;21;18;30;189
0.051253,-0.008464,Robustness to ambiguity determines practicality.,2,83;152;86;119;67
0.029759,0.018620,Multimodality is not the future; it is the present.,4,218;40;11;166;188
-0.049624,0.064288,Publishing an API is publishing a philosophy.,4,177;133;78;10;38
0.061140,0.037427,Comparison charts are not marketing; they are the battlefield.,2,112;222;27;72;40
0.115468,0.076195,Competition speaks through performance.,2,72;186;197;185;71
0.084483,0.068751,Numbers allow no excuses.,2,149;244;53;114;245
-0.024342,-0.309345,Small models will change the economy.,1,4;214;134;163;241
-0.112714,0.050552,Compute cost is a barrier to democratization.,4,189;45;69;67;68
0.009967,-0.026198,Design is what breaks that wall.,2,96;219;171;218;97
-0.366779,0.053054,AI must not be monopolized by giant companies.,0,12;0;18;118;137
0.060938,0.065247,Open weights are an investment in the future.,4,105;227;8;218;217
0.058165,-0.015132,Releasing a model earns trust.,3,110;74;233;49;57
0.037901,0.046290,Speed is part of ethics.,2,88;178;14;121;120
-0.359605,0.019865,Slow AI creates exclusion.,0,12;15;0;118;249
-0.017655,0.075605,Fairness means anyone can use it.,3,152;232;231;212;248
-0.104224,0.089183,APIs cross borders.,4,10;78;133;177;25
-0.280267,-0.051896,AI nullifies geography.,0,158;101;47;18;12
0.057748,0.031250,Benchmarks are the past; the field is the present.,2,198;147;17;5;113
0.124845,0.005316,Practical performance builds brands.,2,122;27;186;123;17
-0.082051,-0.002910,Developers' time is the most expensive resource.,4,45;189;190;55;30
0.045514,-0.169726,A good model is one that shortens that time.,1,120;163;214;170;94
0.012340,-0.175896,"Models are judged by efficiency, not beauty.",1,120;150;130;80;4
-0.061437,-0.010731,Compute resources are finite.,4,190;189;117;42;30
-0.009991,0.032612,Intelligence is proven through efficiency.,2,188;248;186;207;181
-0.248988,0.019740,AI is not static.,0,211;18;201;101;158
0.037984,-0.027853,Updates are the continuation of philosophy.,2,171;219;220;52;97
0.056037,-0.094126,A model release is a declaration.,1,110;34;170;80;51
0.029287,0.074850,A release is not the end; it is the start of dialogue.,3,34;110;49;81;145
0.033549,-0.142206,A model is complete only when used.,1,170;130;80;120;11
0.100929,-0.005501,Implementation is the proving ground of philosophy.,2,81;221;220;80;171
0.110055,0.081596,Metrics are stronger than claims.,2,222;186;244;5;17
0.053544,0.020368,Small errors build trust.,3,183;234;184;124;73
-0.079644,0.021784,"Developers seek control, not magic.",4,16;42;164;0;212
-0.021591,0.033730,Black boxes create anxiety.,3,228;164;57;208;207
0.101768,0.203189,Transparency creates confidence.,3,233;143;144;232;165
-0.033931,0.069758,Open source is a mechanism for sharing speed.,4,9;107;59;178;8
-0.052027,-0.018274,Shared speed becomes exponential.,4,58;139;121;71;88
-0.023196,-0.336891,Small models unlock the edge.,1,241;214;4;134;194
0.052765,-0.020162,The edge is a symbol of freedom.,4,242;213;212;60;241
0.007044,0.059239,Local execution is emancipation from dependency.,4,13;206;216;215;212
-0.305796,0.009809,AI that does not depend is strong.,0,249;18;47;12;32
0.087088,-0.071087,Strength is not size.,2,193;65;139;77;224
0.077830,-0.018922,Strength is optimization.,2,193;64;181;139;77
-0.018075,-0.130503,Design philosophy matters more than parameter count.,2,67;97;219;171;191
-0.033499,-0.080621,Good design saves computation.,2,189;191;117;66;45
0.036110,0.069620,Saving leads to democratization.,4,69;30;67;104;216
0.029834,0.067183,Democratization expands the market.,4,68;93;70;92;157
0.013341,0.012035,Market expansion accelerates evolution.,4,93;69;238;71;132
-0.027125,0.048502,Acceleration creates competition.,4,238;72;197;108;27
0.062591,0.076109,Competition raises quality.,2,27;197;71;73;238
0.121367,0.147818,Quality brings trust.,3,184;183;74;233;234
0.041814,0.203089,Trust drives adoption.,3,165;124;166;184;73
-0.021255,0.069067,Adoption grows ecosystems.,4,166;165;109;74;76
-0.054290,-0.013178,Ecosystems become defense.,4,75;109;216;9;217
